Finish No.0 image, Processing time : 12.06766653060913
Finish No.1 image, Processing time : 11.67353868484497
Finish No.2 image, Processing time : 11.49955701828003
Finish No.3 image, Processing time : 11.523580074310303
Finish No.4 image, Processing time : 11.552453994750977
Finish No.5 image, Processing time : 11.505429983139038
Finish No.6 image, Processing time : 8.994377374649048
Finish No.7 image, Processing time : 11.089447736740112
Finish No.8 image, Processing time : 11.061166763305664
Finish No.9 image, Processing time : 10.935913324356079
Finish No.10 image, Processing time : 10.811762571334839
Finish No.11 image, Processing time : 10.793601512908936
Finish No.12 image, Processing time : 10.74101185798645
Finish No.13 image, Processing time : 10.602521181106567
Finish No.14 image, Processing time : 11.18495225906372
Finish No.15 image, Processing time : 11.08279299736023
Finish No.16 image, Processing time : 11.261444330215454
Finish No.17 image, Processing time : 11.188018321990967
Finish No.18 image, Processing time : 11.202537059783936
Finish No.19 image, Processing time : 11.306066036224365
Finish No.20 image, Processing time : 10.75979208946228
Finish No.21 image, Processing time : 11.081960916519165
Finish No.22 image, Processing time : 11.15324330329895
Finish No.23 image, Processing time : 11.128575325012207
Finish No.24 image, Processing time : 10.986902952194214
Finish No.25 image, Processing time : 11.03461217880249
Finish No.26 image, Processing time : 10.972870349884033
Finish No.27 image, Processing time : 11.085962772369385
Finish No.28 image, Processing time : 11.112431526184082
Finish No.29 image, Processing time : 11.040586471557617
Finish No.30 image, Processing time : 11.11591911315918
Finish No.31 image, Processing time : 11.094564437866211
Finish No.32 image, Processing time : 10.868953227996826
Finish No.33 image, Processing time : 11.05877423286438
Finish No.34 image, Processing time : 11.017667055130005
Finish No.35 image, Processing time : 10.983583927154541
Finish No.36 image, Processing time : 10.879423379898071
Finish No.37 image, Processing time : 11.182411670684814
Finish No.38 image, Processing time : 10.78930115699768
Finish No.39 image, Processing time : 11.06294059753418
Finish No.40 image, Processing time : 11.023623943328857
Finish No.41 image, Processing time : 10.983588457107544
Finish No.42 image, Processing time : 10.98494267463684
Finish No.43 image, Processing time : 11.014017105102539
Finish No.44 image, Processing time : 10.920682191848755
Finish No.45 image, Processing time : 10.90710997581482
Finish No.46 image, Processing time : 10.931148290634155
Finish No.47 image, Processing time : 10.701783657073975
Finish No.48 image, Processing time : 10.942190647125244
Finish No.49 image, Processing time : 10.808804273605347
Finish No.50 image, Processing time : 10.810336351394653
Finish No.51 image, Processing time : 10.734161615371704
Finish No.52 image, Processing time : 10.694946527481079
Finish No.53 image, Processing time : 10.945388555526733
