Finish No.0 image, Processing time : 7.525761127471924
Finish No.1 image, Processing time : 6.703806400299072
Finish No.2 image, Processing time : 6.64112114906311
Finish No.3 image, Processing time : 6.6727354526519775
Finish No.4 image, Processing time : 6.695608139038086
Finish No.5 image, Processing time : 6.635432004928589
Finish No.6 image, Processing time : 6.832984447479248
Finish No.7 image, Processing time : 6.801077842712402
Finish No.8 image, Processing time : 6.737877130508423
Finish No.9 image, Processing time : 6.811017274856567
Finish No.10 image, Processing time : 6.625802993774414
Finish No.11 image, Processing time : 6.659871578216553
Finish No.12 image, Processing time : 6.582379341125488
Finish No.13 image, Processing time : 6.481328964233398
Finish No.14 image, Processing time : 6.587721347808838
Finish No.15 image, Processing time : 6.5229809284210205
Finish No.16 image, Processing time : 6.492915868759155
Finish No.17 image, Processing time : 6.446670055389404
Finish No.18 image, Processing time : 6.5207602977752686
Finish No.19 image, Processing time : 6.58750581741333
Finish No.20 image, Processing time : 6.509270429611206
Finish No.21 image, Processing time : 6.408506155014038
Finish No.22 image, Processing time : 6.3841938972473145
Finish No.23 image, Processing time : 6.4990246295928955
Finish No.24 image, Processing time : 6.352396011352539
Finish No.25 image, Processing time : 6.408828496932983
Finish No.26 image, Processing time : 6.3538854122161865
Finish No.27 image, Processing time : 6.400585174560547
Finish No.28 image, Processing time : 6.381439208984375
Finish No.29 image, Processing time : 6.500360012054443
Finish No.30 image, Processing time : 6.332086086273193
Finish No.31 image, Processing time : 6.3872997760772705
Finish No.32 image, Processing time : 6.322516202926636
Finish No.33 image, Processing time : 6.359588623046875
Finish No.34 image, Processing time : 6.354987621307373
Finish No.35 image, Processing time : 6.432201862335205
Finish No.36 image, Processing time : 6.338702917098999
Finish No.37 image, Processing time : 6.389475345611572
Finish No.38 image, Processing time : 6.2577009201049805
Finish No.39 image, Processing time : 6.180578947067261
Finish No.40 image, Processing time : 6.323405504226685
Finish No.41 image, Processing time : 6.3271331787109375
Finish No.42 image, Processing time : 6.382718563079834
Finish No.43 image, Processing time : 6.371757745742798
Finish No.44 image, Processing time : 6.342496633529663
Finish No.45 image, Processing time : 6.288358449935913
Finish No.46 image, Processing time : 6.236092567443848
Finish No.47 image, Processing time : 6.1462390422821045
Finish No.48 image, Processing time : 6.1499011516571045
Finish No.49 image, Processing time : 6.262085437774658
Finish No.50 image, Processing time : 6.172461032867432
Finish No.51 image, Processing time : 6.166999816894531
Finish No.52 image, Processing time : 6.112786293029785
Finish No.53 image, Processing time : 6.16580057144165
Finish No.54 image, Processing time : 6.155633926391602
Finish No.55 image, Processing time : 6.397741317749023
Finish No.56 image, Processing time : 6.248858451843262
Finish No.57 image, Processing time : 5.1375892162323
Finish No.58 image, Processing time : 5.1493821144104
Finish No.59 image, Processing time : 6.265531301498413
Finish No.60 image, Processing time : 6.169090032577515
Finish No.61 image, Processing time : 5.156073331832886
Finish No.62 image, Processing time : 5.198975086212158
Finish No.63 image, Processing time : 5.0875349044799805
Finish No.64 image, Processing time : 6.201524496078491
Finish No.65 image, Processing time : 6.181924343109131
Finish No.66 image, Processing time : 6.121949672698975
Finish No.67 image, Processing time : 6.057395696640015
Finish No.68 image, Processing time : 6.053542613983154
Finish No.69 image, Processing time : 5.034684181213379
Finish No.70 image, Processing time : 6.122973918914795
Finish No.71 image, Processing time : 5.985960960388184
Finish No.72 image, Processing time : 5.844313621520996
Finish No.73 image, Processing time : 5.00511622428894
Finish No.74 image, Processing time : 6.050826549530029
Finish No.75 image, Processing time : 6.11679482460022
Finish No.76 image, Processing time : 5.955276250839233
Finish No.77 image, Processing time : 5.982293605804443
Finish No.78 image, Processing time : 5.9189231395721436
Finish No.79 image, Processing time : 5.948008060455322
Finish No.80 image, Processing time : 5.876026630401611
Finish No.81 image, Processing time : 6.102459192276001
Finish No.82 image, Processing time : 5.910316705703735
Finish No.83 image, Processing time : 5.763796806335449
Finish No.84 image, Processing time : 5.811709642410278
Finish No.85 image, Processing time : 5.779895067214966
Finish No.86 image, Processing time : 5.69930100440979
Finish No.87 image, Processing time : 5.928164005279541
Finish No.88 image, Processing time : 5.935309648513794
Finish No.89 image, Processing time : 5.945255279541016
Finish No.90 image, Processing time : 5.809566020965576
Finish No.91 image, Processing time : 5.968933820724487
Finish No.92 image, Processing time : 5.882560968399048
Finish No.93 image, Processing time : 5.959248065948486
Finish No.94 image, Processing time : 5.943790912628174
Finish No.95 image, Processing time : 5.806885242462158
Finish No.96 image, Processing time : 5.694523572921753
Finish No.97 image, Processing time : 5.851640939712524
Finish No.98 image, Processing time : 5.746686220169067
Finish No.99 image, Processing time : 6.028841972351074
Finish No.100 image, Processing time : 5.9357898235321045
