Finish No.0 image, Processing time : 7.127350568771362
Finish No.1 image, Processing time : 6.284973382949829
Finish No.2 image, Processing time : 6.179014444351196
Finish No.3 image, Processing time : 6.25522780418396
Finish No.4 image, Processing time : 6.274778127670288
Finish No.5 image, Processing time : 6.209556341171265
Finish No.6 image, Processing time : 6.261598110198975
Finish No.7 image, Processing time : 6.333582878112793
Finish No.8 image, Processing time : 6.251202821731567
Finish No.9 image, Processing time : 6.167661190032959
Finish No.10 image, Processing time : 6.173823118209839
Finish No.11 image, Processing time : 6.070570707321167
Finish No.12 image, Processing time : 6.063809156417847
Finish No.13 image, Processing time : 5.96178412437439
Finish No.14 image, Processing time : 5.878502607345581
Finish No.15 image, Processing time : 5.865636587142944
Finish No.16 image, Processing time : 5.952229261398315
Finish No.17 image, Processing time : 5.830630540847778
Finish No.18 image, Processing time : 5.885360956192017
Finish No.19 image, Processing time : 5.868532657623291
Finish No.20 image, Processing time : 5.787949085235596
Finish No.21 image, Processing time : 5.865541934967041
Finish No.22 image, Processing time : 5.828479766845703
Finish No.23 image, Processing time : 5.8439459800720215
Finish No.24 image, Processing time : 5.744016885757446
Finish No.25 image, Processing time : 5.7790021896362305
Finish No.26 image, Processing time : 5.8051817417144775
Finish No.27 image, Processing time : 5.8107380867004395
Finish No.28 image, Processing time : 5.780069351196289
Finish No.29 image, Processing time : 5.790281534194946
Finish No.30 image, Processing time : 5.563084840774536
Finish No.31 image, Processing time : 5.7194132804870605
Finish No.32 image, Processing time : 5.772213935852051
Finish No.33 image, Processing time : 5.669163465499878
Finish No.34 image, Processing time : 5.875131845474243
Finish No.35 image, Processing time : 5.789154529571533
Finish No.36 image, Processing time : 5.714259386062622
Finish No.37 image, Processing time : 5.605100393295288
Finish No.38 image, Processing time : 5.680400848388672
Finish No.39 image, Processing time : 5.591330051422119
Finish No.40 image, Processing time : 5.856773853302002
Finish No.41 image, Processing time : 5.7971484661102295
Finish No.42 image, Processing time : 5.811288356781006
Finish No.43 image, Processing time : 5.72481632232666
Finish No.44 image, Processing time : 5.772867679595947
Finish No.45 image, Processing time : 5.769935131072998
Finish No.46 image, Processing time : 5.74594521522522
Finish No.47 image, Processing time : 5.757166862487793
Finish No.48 image, Processing time : 5.771188974380493
Finish No.49 image, Processing time : 5.828426837921143
Finish No.50 image, Processing time : 5.755766868591309
Finish No.51 image, Processing time : 5.833215236663818
Finish No.52 image, Processing time : 5.832792043685913
Finish No.53 image, Processing time : 5.681497097015381
Finish No.54 image, Processing time : 5.794761419296265
Finish No.55 image, Processing time : 5.8147218227386475
Finish No.56 image, Processing time : 5.835684061050415
Finish No.57 image, Processing time : 4.7053234577178955
Finish No.58 image, Processing time : 4.638346910476685
Finish No.59 image, Processing time : 5.7186315059661865
Finish No.60 image, Processing time : 5.749977350234985
Finish No.61 image, Processing time : 4.725482940673828
Finish No.62 image, Processing time : 4.725015878677368
Finish No.63 image, Processing time : 4.5610222816467285
Finish No.64 image, Processing time : 5.462996959686279
Finish No.65 image, Processing time : 5.661899566650391
Finish No.66 image, Processing time : 5.67456579208374
Finish No.67 image, Processing time : 5.660862922668457
Finish No.68 image, Processing time : 5.61863112449646
Finish No.69 image, Processing time : 4.633795499801636
Finish No.70 image, Processing time : 5.557911157608032
Finish No.71 image, Processing time : 5.502761125564575
Finish No.72 image, Processing time : 5.465872049331665
Finish No.73 image, Processing time : 4.593587636947632
Finish No.74 image, Processing time : 5.5571136474609375
Finish No.75 image, Processing time : 5.626867771148682
Finish No.76 image, Processing time : 5.57970404624939
Finish No.77 image, Processing time : 5.576950311660767
Finish No.78 image, Processing time : 5.493045806884766
Finish No.79 image, Processing time : 5.495011329650879
Finish No.80 image, Processing time : 5.367229461669922
Finish No.81 image, Processing time : 5.421542644500732
Finish No.82 image, Processing time : 5.3867104053497314
Finish No.83 image, Processing time : 5.387395620346069
Finish No.84 image, Processing time : 5.302835464477539
Finish No.85 image, Processing time : 5.36137318611145
Finish No.86 image, Processing time : 5.3258068561553955
Finish No.87 image, Processing time : 5.520895481109619
Finish No.88 image, Processing time : 5.545398712158203
Finish No.89 image, Processing time : 5.375955104827881
Finish No.90 image, Processing time : 5.305130243301392
Finish No.91 image, Processing time : 5.25127387046814
Finish No.92 image, Processing time : 5.317077159881592
Finish No.93 image, Processing time : 5.365242004394531
Finish No.94 image, Processing time : 5.282468795776367
Finish No.95 image, Processing time : 5.379577159881592
Finish No.96 image, Processing time : 5.2828192710876465
Finish No.97 image, Processing time : 5.336947202682495
Finish No.98 image, Processing time : 5.293769121170044
Finish No.99 image, Processing time : 5.428075313568115
Finish No.100 image, Processing time : 5.354002475738525
Finish No.101 image, Processing time : 5.409417152404785
Finish No.102 image, Processing time : 5.370136737823486
Finish No.103 image, Processing time : 5.527961015701294
Finish No.104 image, Processing time : 5.20342755317688
Finish No.105 image, Processing time : 5.244112253189087
Finish No.106 image, Processing time : 5.258525609970093
Finish No.107 image, Processing time : 5.335359334945679
Finish No.108 image, Processing time : 5.2675251960754395
Finish No.109 image, Processing time : 5.216105222702026
Finish No.110 image, Processing time : 5.198221921920776
Finish No.111 image, Processing time : 5.247657537460327
Finish No.112 image, Processing time : 5.3137969970703125
Finish No.113 image, Processing time : 5.224403381347656
Finish No.114 image, Processing time : 5.226991415023804
Finish No.115 image, Processing time : 5.20188307762146
Finish No.116 image, Processing time : 5.1934897899627686
Finish No.117 image, Processing time : 5.090803384780884
Finish No.118 image, Processing time : 5.170728921890259
Finish No.119 image, Processing time : 5.182110548019409
Finish No.120 image, Processing time : 5.165235757827759
Finish No.121 image, Processing time : 5.154229164123535
Finish No.122 image, Processing time : 5.027271032333374
Finish No.123 image, Processing time : 5.085903882980347
Finish No.124 image, Processing time : 5.012824535369873
Finish No.125 image, Processing time : 4.970055103302002
Finish No.126 image, Processing time : 4.999825954437256
Finish No.127 image, Processing time : 4.938096523284912
Finish No.128 image, Processing time : 4.954779386520386
Finish No.129 image, Processing time : 5.02219033241272
Finish No.130 image, Processing time : 4.960952520370483
Finish No.131 image, Processing time : 5.072098255157471
Finish No.132 image, Processing time : 5.062013149261475
Finish No.133 image, Processing time : 5.118485450744629
Finish No.134 image, Processing time : 4.998024940490723
Finish No.135 image, Processing time : 5.018904209136963
Finish No.136 image, Processing time : 4.983798027038574
Finish No.137 image, Processing time : 4.99148154258728
Finish No.138 image, Processing time : 4.981006622314453
Finish No.139 image, Processing time : 5.012256860733032
Finish No.140 image, Processing time : 4.995007514953613
Finish No.141 image, Processing time : 4.99235200881958
Finish No.142 image, Processing time : 5.019206762313843
Finish No.143 image, Processing time : 5.0379838943481445
Finish No.144 image, Processing time : 5.067224025726318
Finish No.145 image, Processing time : 4.936051845550537
Finish No.146 image, Processing time : 5.007932186126709
Finish No.147 image, Processing time : 4.986944675445557
Finish No.148 image, Processing time : 4.957677841186523
Finish No.149 image, Processing time : 5.011558294296265
